Date,district_name,tasmax,pr,tasmax_c,district,tmax_95th,sm_5th,heat_stress,moist_stress,csi_score,year
2030-01-03,satna,296.26081924302486,0.0,23.110819243024878,satna,43.79,0.46,False,True,0.5,2030
2030-01-03,sehore,298.8425548554775,0.0,25.69255485547751,sehore,43.28,0.59,False,True,0.5,2030
2030-01-03,seoni,298.1426063126906,0.0,24.99260631269061,seoni,42.221,0.59,False,True,0.5,2030
2030-01-03,shahdol,296.14743073343027,0.0,22.997430733430292,shahdol,42.91,0.59,False,True,0.5,2030
2030-01-03,shajapur,298.55411142291445,0.0,25.404111422914468,shajapur,43.08,0.59,False,True,0.5,2030
2030-01-03,sheopur,295.381088888553,0.0,22.231088888553018,sheopur,44.5,0.36,False,True,0.5,2030
2030-01-03,shivpuri,295.1529347205171,0.0,22.002934720517146,shivpuri,43.550999999999995,0.59,False,True,0.5,2030
2030-01-03,sidhi,296.31103658230506,0.0,23.161036582305087,sidhi,43.071,0.47,False,True,0.5,2030
2030-01-03,singrauli,296.1492978722604,0.0,22.9992978722604,singrauli,42.87,0.38,False,True,0.5,2030
2030-01-03,tikamgarh,295.7253288727275,0.0,22.57532887272754,tikamgarh,44.191999999999986,0.46,False,True,0.5,2030
2030-01-03,ujjain,299.16403238917223,0.0,26.014032389172257,ujjain,42.5,0.59,False,True,0.5,2030
2030-01-03,umaria,296.6424709377346,0.0,23.492470937734595,umaria,43.09,0.59,False,True,0.5,2030
2030-01-03,vidisha,297.0845179109492,0.0,23.93451791094924,vidisha,43.21,0.55,False,True,0.5,2030
2030-01-03,westnimar,301.917339713505,0.0,28.76733971350501,westnimar,43.471,0.59,False,True,0.5,2030
2030-01-04,agarmalwa,298.6235024803563,0.0,25.47350248035633,agarmalwa,43.6,0.59,False,True,0.5,2030
2030-01-04,alirajpur,302.3778473975535,0.0,29.227847397553546,alirajpur,42.561,0.57,False,True,0.5,2030
2030-01-04,anuppur,295.6951360302519,0.0,22.54513603025191,anuppur,41.741,0.39,False,True,0.5,2030
2030-01-04,ashoknagar,296.1720799795055,0.0,23.02207997950552,ashoknagar,43.690999999999995,0.57,False,True,0.5,2030
2030-01-04,balaghat,298.16676653763795,0.0,25.016766537637977,balaghat,42.42,0.53,False,True,0.5,2030
2030-01-04,barwani,302.9471358031712,0.0,29.797135803171216,barwani,42.870999999999995,0.59,False,True,0.5,2030
2030-01-04,betul,298.8694713990466,0.0,25.719471399046597,betul,41.63,0.57,False,True,0.5,2030
2030-01-04,bhind,295.9200170707329,0.0,22.770017070732933,bhind,45.07,0.33,False,True,0.5,2030
2030-01-04,bhopal,297.99438035893735,0.0,24.84438035893737,bhopal,42.83,0.58,False,True,0.5,2030
2030-01-04,burhanpur,302.3609286910254,0.0,29.2109286910254,burhanpur,43.321,0.59,False,True,0.5,2030
2030-01-04,chhatarpur,296.1021151200157,0.0,22.95211512001572,chhatarpur,44.59,0.52,False,True,0.5,2030
2030-01-04,chhindwara,297.62679840538834,0.0,24.476798405388365,chhindwara,41.81,0.58,False,True,0.5,2030
2030-01-04,damoh,297.255820534446,0.0,24.105820534446025,damoh,43.881,0.57,False,True,0.5,2030
2030-01-04,datia,295.17394482722483,0.0,22.023944827224852,datia,45.011,0.34,False,True,0.5,2030
2030-01-04,dewas,300.15648998810383,0.0,27.00648998810385,dewas,43.651,0.59,False,True,0.5,2030
2030-01-04,dhar,301.42872361847515,0.0,28.27872361847517,dhar,42.690999999999995,0.59,False,True,0.5,2030
2030-01-04,dindori,295.70566859775124,0.0,22.555668597751264,dindori,41.05,0.48,False,True,0.5,2030
2030-01-04,eastnimar,301.58130653195275,0.0,28.43130653195277,eastnimar,43.75,0.59,False,True,0.5,2030
2030-01-04,guna,296.624845336742,0.0,23.47484533674202,guna,43.01,0.57,False,True,0.5,2030
2030-01-04,gwalior,295.22826341734793,0.0,22.078263417347955,gwalior,44.550999999999995,0.34,False,True,0.5,2030
2030-01-04,harda,300.1729667887203,0.0,27.02296678872034,harda,43.75,0.59,False,True,0.5,2030
2030-01-04,hoshangabad,298.9503462283351,0.0,25.800346228335115,hoshangabad,42.78,0.5,False,True,0.5,2030
2030-01-04,indore,300.29262473845085,0.0,27.142624738450877,indore,42.841,0.59,False,True,0.5,2030
2030-01-04,jabalpur,297.73905295730975,0.0,24.589052957309775,jabalpur,43.351,0.59,False,True,0.5,2030
2030-01-04,jhabua,301.2582281983555,0.0,28.108228198355505,jhabua,42.52,0.56,False,True,0.5,2030
2030-01-04,katni,296.924694622468,0.0,23.77469462246802,katni,43.09,0.59,False,True,0.5,2030
2030-01-04,mandla,297.44039541359984,0.0,24.290395413599867,mandla,42.11199999999999,0.58,False,True,0.5,2030
2030-01-04,mandsaur,298.52164610482697,0.0,25.371646104826993,mandsaur,42.721,0.58,False,True,0.5,2030
2030-01-04,morena,295.65201735038823,0.0,22.502017350388257,morena,45.021,0.33,False,True,0.5,2030
2030-01-04,narsimhapur,298.0015526320246,0.0,24.851552632024607,narsimhapur,43.8,0.59,False,True,0.5,2030
2030-01-04,neemuch,297.952178759557,0.0,24.802178759557023,neemuch,42.230999999999995,0.47,False,True,0.5,2030
2030-01-04,panna,296.31685767929497,0.0,23.166857679294992,panna,43.781,0.46,False,True,0.5,2030
2030-01-04,raisen,298.2383346253657,0.0,25.088334625365746,raisen,44.15,0.59,False,True,0.5,2030
2030-01-04,rajgarh,298.1667379819751,0.0,25.016737981975098,rajgarh,43.641,0.59,False,True,0.5,2030
2030-01-04,ratlam,299.88721908618624,0.0,26.737219086186258,ratlam,42.301999999999985,0.59,False,True,0.5,2030
2030-01-04,rewa,296.2964264658248,0.0,23.146426465824845,rewa,44.761,0.45,False,True,0.5,2030
2030-01-04,sagar,297.35917000495954,0.0,24.20917000495956,sagar,43.43,0.58,False,True,0.5,2030
2030-01-04,satna,296.15631578596174,0.0,23.00631578596176,satna,43.79,0.46,False,True,0.5,2030
2030-01-04,sehore,299.14858394671194,0.0,25.99858394671196,sehore,43.28,0.59,False,True,0.5,2030
2030-01-04,seoni,297.89561391321024,0.0,24.745613913210263,seoni,42.221,0.59,False,True,0.5,2030
2030-01-04,shahdol,295.93997371412667,0.0,22.78997371412669,shahdol,42.91,0.59,False,True,0.5,2030
2030-01-04,shajapur,299.0056745548441,0.0,25.855674554844143,shajapur,43.08,0.59,False,True,0.5,2030
2030-01-04,sheopur,295.73074588371185,0.0,22.58074588371187,sheopur,44.5,0.36,False,True,0.5,2030
2030-01-04,shivpuri,295.43305733496743,0.0,22.283057334967452,shivpuri,43.550999999999995,0.59,False,True,0.5,2030
2030-01-04,sidhi,296.00225206892077,0.0,22.85225206892079,sidhi,43.071,0.47,False,True,0.5,2030
2030-01-04,singrauli,295.84151113873963,0.0,22.691511138739656,singrauli,42.87,0.38,False,True,0.5,2030
2030-01-04,tikamgarh,295.8782095367686,0.0,22.728209536768645,tikamgarh,44.191999999999986,0.46,False,True,0.5,2030
2030-01-04,ujjain,299.6793724153271,0.0,26.529372415327146,ujjain,42.5,0.59,False,True,0.5,2030
2030-01-04,umaria,296.4486728977512,0.0,23.298672897751203,umaria,43.09,0.59,False,True,0.5,2030
2030-01-04,vidisha,297.44715892526267,0.0,24.297158925262693,vidisha,43.21,0.55,False,True,0.5,2030
2030-01-04,westnimar,302.38095525549437,0.0,29.230955255494393,westnimar,43.471,0.59,False,True,0.5,2030
2030-01-05,agarmalwa,298.82495087071476,0.0,25.67495087071478,agarmalwa,43.6,0.59,False,True,0.5,2030
2030-01-05,alirajpur,303.0070093046358,0.0,29.857009304635824,alirajpur,42.561,0.57,False,True,0.5,2030
2030-01-05,anuppur,295.32198305108955,0.0,22.17198305108957,anuppur,41.741,0.39,False,True,0.5,2030
2030-01-05,ashoknagar,296.4605496013707,0.0,23.310549601370724,ashoknagar,43.690999999999995,0.57,False,True,0.5,2030
2030-01-05,balaghat,297.6738706321585,0.0,24.52387063215855,balaghat,42.42,0.53,False,True,0.5,2030
2030-01-05,barwani,303.46504130439797,0.0,30.315041304397994,barwani,42.870999999999995,0.59,False,True,0.5,2030
2030-01-05,betul,298.548755645752,0.0,25.398755645752033,betul,41.63,0.57,False,True,0.5,2030
2030-01-05,bhind,296.2716654499449,0.0,23.121665449944942,bhind,45.07,0.33,False,True,0.5,2030
2030-01-05,bhopal,297.841437020836,0.0,24.69143702083602,bhopal,42.83,0.58,False,True,0.5,2030
2030-01-05,burhanpur,302.4075673854098,0.0,29.2575673854098,burhanpur,43.321,0.59,False,True,0.5,2030
2030-01-05,chhatarpur,296.5505826680926,0.0,23.400582668092625,chhatarpur,44.59,0.52,False,True,0.5,2030
